pathogen_iri	pathogen_label	host_iri	host_label
http://www.pitt.edu/obc/IDE_0000004391	Mycobacterium tuberculosis in Switzerland	http://www.pitt.edu/obc/IDE_0000000808	humans in Switzerland
http://www.pitt.edu/obc/IDE_0000004474	Mycobacterium tuberculosis in Saudi Arabia	http://www.pitt.edu/obc/IDE_0000000881	humans in Saudi Arabia
http://www.pitt.edu/obc/IDE_0000004490	Mycobacterium tuberculosis in Denmark	http://www.pitt.edu/obc/IDE_0000001938	humans in Denmark
http://www.pitt.edu/obc/IDE_0000004435	Mycobacterium tuberculosis in Sri Lanka	http://www.pitt.edu/obc/IDE_0000000879	humans in Sri Lanka
http://www.pitt.edu/obc/IDE_0000004504	Mycobacterium tuberculosis in Thailand	http://www.pitt.edu/obc/IDE_0000000841	humans in Thailand
http://www.pitt.edu/obc/IDE_0000004442	Mycobacterium tuberculosis in United Arab Emirates	http://www.pitt.edu/obc/IDE_0000000893	humans in United Arab Emirates
http://www.pitt.edu/obc/IDE_0000004488	Mycobacterium tuberculosis in Mali	http://www.pitt.edu/obc/IDE_0000000851	humans in Mali
http://www.pitt.edu/obc/IDE_0000004496	Mycobacterium tuberculosis in Bahrain	http://www.pitt.edu/obc/IDE_0000000838	humans in Bahrain
http://www.pitt.edu/obc/IDE_0000004480	Mycobacterium tuberculosis in France	http://www.pitt.edu/obc/IDE_0000000904	humans in France
http://www.pitt.edu/obc/IDE_0000004477	Mycobacterium tuberculosis in Uganda	http://www.pitt.edu/obc/IDE_0000000076	humans in Uganda
http://www.pitt.edu/obc/IDE_0000004531	Mycobacterium tuberculosis in Somalia	http://www.pitt.edu/obc/IDE_0000000831	humans in Somalia
http://www.pitt.edu/obc/IDE_0000004375	Mycobacterium tuberculosis in Republic of Congo	http://www.pitt.edu/obc/IDE_0000000079	humans in Republic of Congo
http://www.pitt.edu/obc/IDE_0000004351	Mycobacterium tuberculosis in Malaysia	http://www.pitt.edu/obc/IDE_0000000930	humans in Malaysia
